,Product Name,site1,PS CODE,MANU CODE,text body,price,In stock?
0,Refrigerator Water Filter,https://www.partselect.com/PS3412266-Frigidaire-WF3CB-Refrigerator-Water-Filter.htm?SourceCode=19&SearchTerm=LFSS2612TF0&ModelNum=LFSS2612TF0,PS2358880,241993101,"Crisper Cover Support - Front   (82) PartSelect #: PS2358880 Manufacturer #: 241993101 This crisper cover front support is used to keep the crisper shelf in place and may need replacing if the door will not open or close. This white, OEM part measures roughly 1 inch in diameter and can ... $3.89   In Stock Add to cart",$3.89,No Info
1,Crisper Support - Rear,https://www.partselect.com/PS2358879-Frigidaire-241993001-Crisper-Support-Rear.htm?SourceCode=19&SearchTerm=LFSS2612TF0&ModelNum=LFSS2612TF0,PS2358879,241993001,"Crisper Support - Rear   (21) PartSelect #: PS2358879 Manufacturer #: 241993001 This authentic rear crisper support is a white, plastic part which is rated as ""easy"" to install by our customers. This OEM part replaces the rear crisper cover support in your fridge and mounts to th... $13.15   In Stock Add to cart",$35.15,No Info
2,Refrigerator Door Shelf Bin,https://www.partselect.com/PS12364199-Frigidaire-242126602-Refrigerator-Door-Shelf-Bin.htm?SourceCode=19&SearchTerm=LFSS2612TF0&ModelNum=LFSS2612TF0,PS12364199,242126602,"Refrigerator Door Shelf Bin   (130) PartSelect #: PS12364199 Manufacturer #: 242126602 This manufacturer-certified Refrigerator Door Shelf Bin, also known as a crisper bin or door shelf bin, is made of clear plastic, and is easy to install. It is used to hold items in the fridge, like j... 18% OFF $35.15 $43.00   In Stock Add to cart",$35.15,No Info
3,Door Shelf,https://www.partselect.com/PS430027-Frigidaire-240351601-Door-Shelf.htm?SourceCode=19&SearchTerm=LFSS2612TF0&ModelNum=LFSS2612TF0,PS430027,240351601,Door Shelf   (89) PartSelect #: PS430027 Manufacturer #: 240351601 This original equipment manufacturer Door Shelf is a white plastic part which holds items inside of your freezer or refrigerator door. It is roughly 10 inches long by 4 inches high by 5.5 inches wide.... $45.83   In Stock Add to cart,$45.83,No Info
4,Refrigerator Water Inlet Valve,https://www.partselect.com/PS7784018-Frigidaire-242252702-Refrigerator-Water-Inlet-Valve.htm?SourceCode=19&SearchTerm=LFSS2612TF0&ModelNum=LFSS2612TF0,PS7784018,242252702,"Refrigerator Water Inlet Valve   (122) PartSelect #: PS7784018 Manufacturer #: 242252702 The function of the Refrigerator Water Inlet Valve (Triple Solenoid Water-Valve, Water Valve, Water Inlet Valve, Refrigerator Water Inlet Valve Assembly) is to release water from the supply line when ... 38% OFF $56.19 $90.98   In Stock Add to cart",$56.19,No Info
5,Door Bin - Clear,https://www.partselect.com/PS430122-Frigidaire-240356402-Door-Bin-Clear.htm?SourceCode=19&SearchTerm=LFSS2612TF0&ModelNum=LFSS2612TF0,PS430122,240356402,Door Bin - Clear   (73) PartSelect #: PS430122 Manufacturer #: 240356402 This bin can be moved according to space needed. It holds items on the door of your refrigerator. NOTE: This bin is only available in clear plastic now. 13% OFF $75.89 $87.27   In Stock Add to cart,$75.89,No Info
6,Upper Crisper Drawer Cover - Glass NOT Included,https://www.partselect.com/PS648823-Frigidaire-240350702-Upper-Crisper-Drawer-Cover-Glass-NOT-Included.htm?SourceCode=19&SearchTerm=LFSS2612TF0&ModelNum=LFSS2612TF0,PS648823,240350702,Upper Crisper Drawer Cover - Glass NOT Included   (59) PartSelect #: PS648823 Manufacturer #: 240350702 This upper crisper drawer cover is a manufacturer-approved replacement part for your refrigerator. It has drawer glides molded into the frame but this part does not include the glass cover. To replace... $70.53   In Stock Add to cart,$70.53,No Info
7,Refrigerator Water Filter,https://www.partselect.com/PS3412266-Frigidaire-WF3CB-Refrigerator-Water-Filter.htm?SourceCode=19&SearchTerm=LFSS2612TF0&ModelNum=LFSS2612TF0,PS3412266,WF3CB,"Refrigerator Water Filter   (58) PartSelect #: PS3412266 Manufacturer #: WF3CB This NSF-Certified OEM filter is white in color with a plastic housing and extruded carbon filter media. It measures 2.3-Inches deep, 9.1-Inches high and 2.3-Inches wide. It fits certain Frigidaire si... 30% OFF $50.38 $72.47   In Stock Add to cart",$50.38,No Info
8,Refrigerator Shelf Frame (Glass not included),https://www.partselect.com/PS2363832-Frigidaire-241969501-Refrigerator-Shelf-Frame-Glass-not-included.htm?SourceCode=19&SearchTerm=LFSS2612TF0&ModelNum=LFSS2612TF0,PS2363832,241969501,"Refrigerator Shelf Frame (Glass not included)   (68) PartSelect #: PS2363832 Manufacturer #: 241969501 This refrigerator shelf frame is an OEM part that serves to support the glass above your meat pan or chill drawer in your refrigerator. White to off-white in color, this part does NOT include the glas... 20% OFF $68.89 $86.11   In Stock Add to cart",$68.89,No Info
9,Refrigerator Crisper Drawer,https://www.partselect.com/PS2361214-Frigidaire-240351061-Refrigerator-Crisper-Drawer.htm?SourceCode=19&SearchTerm=LFSS2612TF0&ModelNum=LFSS2612TF0,PS2361214,240351061,Refrigerator Crisper Drawer   (29) PartSelect #: PS2361214 Manufacturer #: 240351061 This clear plastic crisper drawer is for side-by-side refrigerators. It is sold individually and sourced right from the original manufacturer. Please note that the new pan does not have the humidity c... 20% OFF $90.96 $113.70   In Stock Add to cart,$90.96,No Info
