,repair-story
0,"water leaking out of refrigerator
In my specific appliance the water valve is located in the bottom right hand corner looking at it from the back. To get to it I remove the thin layer of cardboard the covers the back of the fridge. I then proceeded to disconnect the 1/4"" copper tubing which is the water feed coming out of the wall. Then I removed the screws that hold the ... Read more
Parts Used:
Refrigerator Water Inlet Valve
Jose from Alexandria, VA
Difficulty Level:
Easy
Total Repair Time:
15 - 30 mins
Tools:
Nutdriver, Pliers, Wrench (Adjustable)
592 of 700 people found this instruction helpful.
Was this instruction helpful to you?"
1,"water leaking out of refrigerator
In my specific appliance the water valve is located in the bottom right hand corner looking at it from the back. To get to it I remove the thin layer of cardboard the covers the back of the fridge. I then proceeded to disconnect the 1/4"" copper tubing which is the water feed coming out of the wall. Then I removed the screws that hold the ... Read more
Parts Used:
Refrigerator Water Inlet Valve
Jose from Alexandria, VA
Difficulty Level:
Easy
Total Repair Time:
15 - 30 mins
Tools:
Nutdriver, Pliers, Wrench (Adjustable)
592 of 700 people found this instruction helpful.
Was this instruction helpful to you?"
2,"needed to replace filter
push in old filter, turned to the left and filter came out. Pushed in new filter and it clicked into place. Very easy to do.
Parts Used:
WATER FILTER,PS ULTRA SYSTEM
Wayne from Homosassa, FL
Difficulty Level:
Really Easy
Total Repair Time:
Less than 15 mins
11 of 15 people found this instruction helpful.
Was this instruction helpful to you?"
3,"replacing parts only
the prices you had were great, now I see there was an increase in the parts.
thank you
Parts Used:
Refrigerator Door Shelf Bin
Refrigerator Crisper Drawer with Humidity Control
JULIA from BRONX, NEW YORK, NY
Difficulty Level:
Really Easy
Total Repair Time:
Less than 15 mins
693 of 777 people found this instruction helpful.
Was this instruction helpful to you?"
4,"replacing parts only
the prices you had were great, now I see there was an increase in the parts.
thank you
Parts Used:
Refrigerator Door Shelf Bin
Refrigerator Crisper Drawer with Humidity Control
JULIA from BRONX, NEW YORK, NY
Difficulty Level:
Really Easy
Total Repair Time:
Less than 15 mins
693 of 777 people found this instruction helpful.
Was this instruction helpful to you?"
5,"water leaking out of refrigerator
In my specific appliance the water valve is located in the bottom right hand corner looking at it from the back. To get to it I remove the thin layer of cardboard the covers the back of the fridge. I then proceeded to disconnect the 1/4"" copper tubing which is the water feed coming out of the wall. Then I removed the screws that hold the ... Read more
Parts Used:
Refrigerator Water Inlet Valve
Jose from Alexandria, VA
Difficulty Level:
Easy
Total Repair Time:
15 - 30 mins
Tools:
Nutdriver, Pliers, Wrench (Adjustable)
592 of 700 people found this instruction helpful.
Was this instruction helpful to you?"
6,"light on to order water filter
Pressed in the end of the filter cover, lowered it down part way. Twisted the old filter 1/4 turn and removed it. Set in the sink to drain. Inserted new filter and twisted it to lock. closed cover. Done. Total time @ 1 Minute.
Parts Used:
Refrigerator Water Filter
Douglas from Byron, NY
Difficulty Level:
Really Easy
Total Repair Time:
Less than 15 mins
908 of 1029 people found this instruction helpful.
Was this instruction helpful to you?"
7,"Freezer is cold, Refridgerator is not as cold as it should be
Having seen this problem before in other equipment so I had an idea where to look. Problem: the automatic defrost function was not operating. Looking through openings in the back panel of the freezer compartment, you could see the evaporator coils and fins were a solid chuck of ice. There are three logical components to check. Heater ... Read more
Parts Used:
Electronic Control Board
Russell from Hardinsburg, KY
Difficulty Level:
A Bit Difficult
Total Repair Time:
More than 2 hours
Tools:
Screw drivers
369 of 449 people found this instruction helpful.
Was this instruction helpful to you?"
8,"water leaking out of refrigerator
In my specific appliance the water valve is located in the bottom right hand corner looking at it from the back. To get to it I remove the thin layer of cardboard the covers the back of the fridge. I then proceeded to disconnect the 1/4"" copper tubing which is the water feed coming out of the wall. Then I removed the screws that hold the ... Read more
Parts Used:
Refrigerator Water Inlet Valve
Jose from Alexandria, VA
Difficulty Level:
Easy
Total Repair Time:
15 - 30 mins
Tools:
Nutdriver, Pliers, Wrench (Adjustable)
592 of 700 people found this instruction helpful.
Was this instruction helpful to you?"
9,"light on to order water filter
Pressed in the end of the filter cover, lowered it down part way. Twisted the old filter 1/4 turn and removed it. Set in the sink to drain. Inserted new filter and twisted it to lock. closed cover. Done. Total time @ 1 Minute.
Parts Used:
Refrigerator Water Filter
Douglas from Byron, NY
Difficulty Level:
Really Easy
Total Repair Time:
Less than 15 mins
908 of 1029 people found this instruction helpful.
Was this instruction helpful to you?"
10,"Freezer wouldn't maintain temperature ... got warm.
The freezer in my side-by-side kept warming up -- often 20 degrees or more, which of course caused the fresh food side to warm up also. I do a lot of jump-in-with-both-feet home repairs, but never on a large appliance. Not having an ohmmeter, which cost about $100 for a reliable one, I took the symptoms to the internet. Countless self-hel ... Read more
Parts Used:
Defrost Thermostat
Temperature Sensor
Mike from Scottsdale, AZ
Difficulty Level:
Easy
Total Repair Time:
15 - 30 mins
Tools:
Nutdriver, Screw drivers
296 of 350 people found this instruction helpful.
Was this instruction helpful to you?"
11,"water leaking out of refrigerator
In my specific appliance the water valve is located in the bottom right hand corner looking at it from the back. To get to it I remove the thin layer of cardboard the covers the back of the fridge. I then proceeded to disconnect the 1/4"" copper tubing which is the water feed coming out of the wall. Then I removed the screws that hold the ... Read more
Parts Used:
Refrigerator Water Inlet Valve
Jose from Alexandria, VA
Difficulty Level:
Easy
Total Repair Time:
15 - 30 mins
Tools:
Nutdriver, Pliers, Wrench (Adjustable)
592 of 700 people found this instruction helpful.
Was this instruction helpful to you?"
12,"The refrigerator made continous ""whooing"" sounds that increased and decreased in pitch. Sounded like a ghost. Would keep us up at night. Also noticed that the heater was not heating under the evaporator coils.
After checking the stories, the consensus of opinion was to change the mother board. I had a tremendous help from Tom Paone at quality@applianceeducator.com. He also told me to change the motherboard but to make sure that the coils were totally defrosted before starting up the refrigerator after changing the board.

Took off thr ... Read more
Parts Used:
Main Control Board Assembly
John from Holly Springs, NC
Difficulty Level:
Really Easy
Total Repair Time:
Less than 15 mins
Tools:
Nutdriver
559 of 649 people found this instruction helpful.
Was this instruction helpful to you?"
13,"Refrigertor water dispenser not working BUT ice machine is working
The very first symptom here is important! The door water dispenser is not working but the ice macine is working. You may only have a frozen water tube in the door so do the following before diagnosing that your solenoid valve is bad: 1) the tube usually runs under the front of the refrigerator and usually has a quick disconnect. Undo t ... Read more
Parts Used:
WATER VALVE WITH GUARD
ralph from bristow, VA
Difficulty Level:
Really Easy
Total Repair Time:
Less than 15 mins
Tools:
Nutdriver, Screw drivers, Socket set
1028 of 1144 people found this instruction helpful.
Was this instruction helpful to you?"
14,"No ice
removed flap door in front of icemaker...removed 3 screws with bolt heads...removed one additional screw with bolt head and ice unit slid out. I removed motor unit (pops out no screws). Replaced and had ice within 3 hours.
Parts Used:
Icemaker Control Assembly
Daniel from Suwanee, GA
Difficulty Level:
Easy
Total Repair Time:
15 - 30 mins
Tools:
Screw drivers, Socket set
563 of 681 people found this instruction helpful.
Was this instruction helpful to you?"
15,"Freezer Fan
I removed two srews from the back panel inside fthe reezer compartment and the two that hold the air manifold/baffle? and pulled the baffle out. Then, I removed the two srews that hold the front part of the fan bracket behind the baffle and the back panel came out easily. Two more screws and one quick connect plug attached to the fan and ... Read more
Parts Used:
Evaporator Fan Motor
Luis from College Station, TX
Difficulty Level:
Really Easy
Total Repair Time:
15 - 30 mins
Tools:
Screw drivers, Socket set
260 of 290 people found this instruction helpful.
Was this instruction helpful to you?"
16,"water leaking out of refrigerator
In my specific appliance the water valve is located in the bottom right hand corner looking at it from the back. To get to it I remove the thin layer of cardboard the covers the back of the fridge. I then proceeded to disconnect the 1/4"" copper tubing which is the water feed coming out of the wall. Then I removed the screws that hold the ... Read more
Parts Used:
Refrigerator Water Inlet Valve
Jose from Alexandria, VA
Difficulty Level:
Easy
Total Repair Time:
15 - 30 mins
Tools:
Nutdriver, Pliers, Wrench (Adjustable)
592 of 700 people found this instruction helpful.
Was this instruction helpful to you?"
17,"Refrigertor water dispenser not working BUT ice machine is working
The very first symptom here is important! The door water dispenser is not working but the ice macine is working. You may only have a frozen water tube in the door so do the following before diagnosing that your solenoid valve is bad: 1) the tube usually runs under the front of the refrigerator and usually has a quick disconnect. Undo t ... Read more
Parts Used:
WATER VALVE WITH GUARD
ralph from bristow, VA
Difficulty Level:
Really Easy
Total Repair Time:
Less than 15 mins
Tools:
Nutdriver, Screw drivers, Socket set
1028 of 1144 people found this instruction helpful.
Was this instruction helpful to you?"
18,"Remove and replace light switch
Video makes it look easy. Kenmore refrigerator does not have ""groove"" along the right hand side of switch that allows for pushing down on release. Used a thin screwdriver to get under to push while holding switch edge with pliers. Kept slipping. Tape sides to avoid scratching inside of refrigerator.
Parts Used:
Refrigerator Door Switch
Debbie from Waltham, MA
Difficulty Level:
A Bit Difficult
Total Repair Time:
30 - 60 mins
Tools:
Pliers, Screw drivers
39 of 67 people found this instruction helpful.
Was this instruction helpful to you?"
19,"The factory door gasket was split and needed replacing
I pulled the gasket off and installed the new one. It was very easy. All I had to do was to push the new gasket in place in the grooves in the door. The gasket I received was identical to the one I replaced.
Parts Used:
Door Gasket - Gray - Right Side
Carl from LAKE WYLIE, SC
Difficulty Level:
Very Easy
Total Repair Time:
Less than 15 mins
22 of 36 people found this instruction helpful.
Was this instruction helpful to you?"
20,"Dispenser door broken.
Disconnect from power
Unscrewed 4 phillips screws from top of outer door.
Unscrewed 2 screws each siide of door.
Lower outer door section drops away.
Note wiring sequence on dispenser, then disconnect wires.
Unscrew 6 screws on dispenser and lift dispenser out.

Place new dispenser in place (note orient ... Read more
Parts Used:
Detergent Dispenser
C from Covina, CA
Difficulty Level:
Easy
Total Repair Time:
15 - 30 mins
Tools:
Screw drivers
56 of 67 people found this instruction helpful.
Was this instruction helpful to you?"
21,"Replaced Hinge Link
Pulled dishwasher from under counter, attached link to spring, hooked spring back into frame/chassis, threaded link through pulleys, attached other end of link onto door, reinstalled dishwasher under counter. All's well. Note-I purchased an extra link anticipating that the other one will fail. They're cheap enough.
Parts Used:
Door Balance Link Kit
Scott from Fort Lauderdale, FL
Difficulty Level:
Easy
Total Repair Time:
Less than 15 mins
Tools:
Screw drivers
632 of 675 people found this instruction helpful.
Was this instruction helpful to you?"
22,"The spray arm would fall off during the washing cycle.
Repair was simple. I unscrewed the old grommet which held the old spray arm and screwed-on the new one. About 30 seconds was required. Other people having this problem should note that the spray-arm is made of three pieces which are inseparable when the arm is new. The arm is sold in this form. However, when your machine is having th ... Read more
Parts Used:
Upper Spray Arm
Roy from Worcester, MA
Difficulty Level:
Really Easy
Total Repair Time:
Less than 15 mins
824 of 841 people found this instruction helpful.
Was this instruction helpful to you?"
